相对强度 运行#1,位置 (米 m) 运行#1,相对强度 运行#2,位置 (米 m) 运行#2,相对强度 运行#3,位置 (米 m) 运行#3,相对强度 运行#4,位置 (米 m) 运行#4
0.036819,0.0000,0.026245,0.0000,0.014648,0.0000,0.014236,3.9450E-5
0.037430,0.0000,0.026642,0.0000,0.015259,0.0000,0.014954,3.9450E-5
0.036819,0.0000,0.026749,0.0000,0.013931,0.0000,0.014740,3.9450E-5
0.037323,0.0000,0.027969,0.0000,0.014847,0.0000,0.014435,3.9450E-5
0.036102,0.0000,0.027145,0.0000,0.014740,0.0000,0.014435,5.9175E-5
0.037430,0.0000,0.026642,0.0000,0.013519,0.0000,0.015350,5.9175E-5
0.037323,0.0000,0.027145,0.0000,0.014435,0.0000,0.014954,1.1835E-4
0.036102,0.0000,0.027771,0.0000,0.014542,0.0000,0.013931,2.1697E-4
0.037231,0.0000,0.026947,0.0000,0.013931,0.0000,0.014038,2.7615E-4
0.037735,0.0000,0.026245,0.0000,0.014648,0.0000,0.014435,2.9588E-4
0.037537,0.0000,0.027252,0.0000,0.014542,0.0000,0.014648,3.1560E-4
0.037628,0.0000,0.027863,0.0000,0.013626,0.0000,0.015045,3.3533E-4
0.037735,0.0000,0.026855,0.0000,0.014130,0.0000,0.014542,3.5505E-4
0.038544,0.0000,0.026031,0.0000,0.015350,0.0000,0.013733,3.7478E-4
0.037323,0.0000,0.027863,0.0000,0.014542,0.0000,0.014954,3.7478E-4
0.037231,0.0000,0.026749,0.0000,0.014328,0.0000,0.015259,3.9450E-4
0.037735,0.0000,0.027145,0.0000,0.014740,0.0000,0.014435,4.1422E-4
0.037628,0.0000,0.027054,0.0000,0.014648,0.0000,0.013931,4.1422E-4
0.037628,0.0000,0.026749,0.0000,0.014542,0.0000,0.014648,4.3395E-4
0.036514,0.0000,0.027252,0.0000,0.013519,0.0000,0.013519,4.3395E-4
0.036514,0.0000,0.027145,0.0000,0.013519,0.0000,0.012909,4.3395E-4
0.038040,0.0000,0.027252,0.0000,0.014236,0.0000,0.014038,4.3395E-4
0.036819,0.0000,0.026855,0.0000,0.014130,0.0000,0.014236,4.3395E-4
0.038239,0.0000,0.027863,0.0000,0.014328,0.0000,0.013733,4.3395E-4
0.037125,0.0000,0.027252,0.0000,0.014847,0.0000,0.014328,4.3395E-4
0.037933,0.0000,0.025833,0.0000,0.014328,0.0000,0.013931,4.5368E-4
0.037231,0.0000,0.026443,0.0000,0.013428,0.0000,0.014847,4.5368E-4
0.037933,0.0000,0.027359,0.0000,0.014236,0.0000,0.013733,4.5368E-4
0.037323,0.0000,0.026550,0.0000,0.014542,0.0000,0.014038,4.7340E-4
0.037735,0.0000,0.026337,0.0000,0.014954,0.0000,0.013428,5.3258E-4
0.037323,0.0000,0.027252,0.0000,0.014435,0.0000,0.014648,5.5230E-4
0.037735,0.0000,0.027557,0.0000,0.014435,0.0000,0.013931,5.7202E-4
0.038239,0.0000,0.027054,0.0000,0.015045,0.0000,0.013321,5.9175E-4
0.037018,0.0000,0.027054,0.0000,0.014740,0.0000,0.014328,6.1147E-4
